80,0x2b1ba2,for (int k = 0; k < COLUMNS; k += r) {,,,0,,,,1.000000
81,0x2b1b71,for (int ii = i; ii < i + r; ii++) { // WYNIK CZʌCIOWY,,3.000000,2.3999999999999999,3.000000,,1.000000,6.000000
82,0x2b1b90,for (int kk = k; kk < k + r; kk++) {,,10.000000,8,10.000000,,14.000000,33.000000
83,0x2b1bb3,for (int jj = j; jj < j + r; jj++) {,,16.000000,12.800000000000001,16.000000,2.000000,22.000000,59.000000
84,0x2b1baa,matrix_r[ii][jj] += matrix_a[ii][kk] * matrix_b[kk][jj];,,96.000000,76.799999999999997,96.000000,6.000000,109.000000,216.000000
Init
,,IJK | | 0.0150,,,,,,,
,,IJK-IKJ | | 0.0310,,,,,,,
256,64,3,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DC accesses,DC misses,CPU clocks,Ret inst
67,0x331e3b,for (int k = 0; k < COLUMNS; k++),,2.000000,2.8985507246376812,2.000000,,,2.000000
68,0x331e00,for (int j = 0; j < COLUMNS; j++),,2.000000,2.8985507246376812,2.000000,,4.000000,4.000000
69,0x331e23,matrix_r[i][j] += matrix_a[i][k] * matrix_b[k][j];,,65.000000,94.20289855072464,65.000000,3.000000,85.000000,147.000000
,,6,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DC accesses,DC misses,CPU clocks,Ret inst
82,0x331cfb,for (int kk = k; kk < k + r; kk++) {,,6.000000,7.0588235294117645,6.000000,,2.000000,14.000000
83,0x331bb3,for (int jj = j; jj < j + r; jj++) {,,8.000000,9.4117647058823533,8.000000,,15.000000,22.000000
Init
,,IJK | | 0.0150,,,,,,,
,,IJK-IKJ | | 0.0150,,,,,,,
84,0x331be2,matrix_r[ii][jj] += matrix_a[ii][kk] * matrix_b[kk][jj];,,71.000000,83.529411764705884,71.000000,6.000000,97.000000,171.000000
128,16,3,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DC accesses,DC misses,CPU clocks,Ret inst
68,0xb21df0,for (int j = 0; j < COLUMNS; j++),,,0,,,2.000000,4.000000
69,0xb21e13,matrix_r[i][j] += matrix_a[i][k] * matrix_b[k][j];,,9.000000,100,9.000000,,6.000000,17.000000
,,6,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DC accesses,DC misses,CPU clocks,Ret inst
82,0xb21cef,for (int kk = k; kk < k + r; kk++) {,,5.000000,31.25,5.000000,,4.000000,4.000000
83,0xb21bad,for (int jj = j; jj < j + r; jj++) {,,,0,,,2.000000,4.000000
84,0xb21bcf,matrix_r[ii][jj] += matrix_a[ii][kk] * matrix_b[kk][jj];,,11.000000,68.75,11.000000,1.000000,11.000000,31.000000
Init
,,IJK | | 0.0460,,,,,,,
,,IJK-IKJ | | 0.0780,,,,,,,
